OTU,FConL1,FConL2,FConL3,FFAL1,FFAL2,FFAL3,FHAL1,FHAL2,FHAL3,VConL1,VConL2,VConL3,VFAL1,VFAL2,VFAL3,VHAL1,VHAL2,VHAL3
OTU1,6,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
OTU10,5,0,0,0,0,0,2,0,2,7,0,0,0,0,0,0,0,0
OTU100,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
OTU1001,0,0,0,0,0,0,4,1,4,0,0,0,0,0,18,0,0,0
OTU1003,0,0,0,0,0,0,16,6,15,0,0,0,1,0,1,0,0,0
OTU1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
OTU1006,0,0,0,0,0,0,0,0,0,38,0,0,68,0,1,0,1,0
OTU1007,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1014,0,0,3,0,0,0,0,4,6,0,0,0,0,0,30,0,0,0
OTU1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1016,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0
OTU1017,0,0,1,2,24,1,1,4,0,28,0,0,37,0,2,12,0,0
OTU1018,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0
OTU1019,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0
OTU102,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
OTU1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OTU1022,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OTU1025,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OTU1027,1,3,7,34,47,0,3,35,9,0,0,6,1,0,0,0,0,0
OTU1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OTU1031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OTU1032,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
OTU1037,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OTU1038,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OTU1039,0,0,0,0,0,0,0,0,0,15,0,0,12,0,0,0,0,0
OTU1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1041,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
OTU1042,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OTU1044,0,2,0,0,0,0,0,0,0,1,0,0,0,0,16,0,0,0
OTU1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OTU1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OTU1048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1049,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OTU1050,0,0,0,0,0,0,31,8,0,0,0,0,0,0,0,0,0,0
OTU1052,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU1053,0,0,0,0,0,0,0,9,3,3,0,0,5,1,15,0,0,0
OTU1055,0,0,0,0,0,0,27,9,12,1,0,0,0,0,25,0,0,0
OTU1056,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OTU1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1060,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
OTU1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
OTU1069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OTU1071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1077,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0
OTU1078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1079,0,0,0,0,0,0,0,0,1,2,0,0,1,0,18,0,0,0
OTU1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
OTU1081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OTU1082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
OTU1083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
OTU1084,0,2,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0
OTU1085,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
OTU1086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OTU1088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
OTU109,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
OTU1091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
OTU1096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1098,10,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
OTU1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1102,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OTU1103,5,7,0,0,0,0,6,10,9,2,0,7,1,0,12,7,0,0
OTU1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1107,0,7,4,0,0,0,15,13,28,0,0,0,1,0,6,0,0,0
OTU1108,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0
OTU1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1118,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OTU1119,33,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU112,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0
OTU1120,0,16,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
OTU1122,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0
OTU1123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1124,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
OTU1130,0,0,0,0,18,0,2,0,0,0,0,0,1,0,15,0,0,0
OTU1131,0,7,12,0,10,0,4,20,20,0,0,19,5,3,7,0,1,0
OTU1132,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0
OTU1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
OTU1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1137,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
OTU1138,0,0,0,0,0,0,0,0,2,22,0,5,56,0,14,0,0,0
OTU1139,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
OTU1140,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
OTU1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1144,0,10,0,9,0,0,4,7,8,19,0,0,45,0,13,0,0,0
OTU1147,0,0,0,0,0,0,0,0,0,9,0,0,11,1,11,0,0,0
OTU1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OTU115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1151,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0
OTU1153,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
