OTU,FConR1,FConR2,FConR3,FFAR1,FFAR2,FFAR3,FHAR1,FHAR2,FHAR3,VConR1,VConR2,VConR3,VFAR1,VFAR2,VFAR3,VHAR1,VHAR2,VHAR3
OTU1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10,0,0,1,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0
OTU100,1,6,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
OTU1001,0,1,0,1,0,0,53,7,10,1,0,0,0,0,0,0,0,0
OTU1003,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4
OTU1004,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU1005,0,0,0,0,0,0,8,0,4,0,0,2,0,0,0,0,0,0
OTU1006,2,0,4,0,0,0,1,7,3,0,0,0,0,0,0,0,0,0
OTU1007,0,0,1,32,0,0,742,47,87,0,0,0,0,0,0,0,0,0
OTU1008,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
OTU1010,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU1012,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1013,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OTU1014,0,0,0,1,0,0,11,5,2,0,0,0,1,0,0,0,0,0
OTU1015,0,0,0,2,0,7,7,18,22,0,0,0,0,0,0,0,0,0
OTU1016,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
OTU1017,1,3,5,2,1,0,21,13,120,25,93,17,12,3,79,62,6,284
OTU1018,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU1019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU102,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
OTU1020,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
OTU1022,3,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
OTU1025,1,0,5,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0
OTU1027,19,11,14,3,0,0,185,377,320,2,0,0,0,0,8,0,22,0
OTU1028,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0
OTU1029,0,5,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0
OTU1031,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
OTU1032,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1038,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0
OTU1039,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
OTU1040,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
OTU1041,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
OTU1042,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
OTU1044,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
OTU1045,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
OTU1046,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0
OTU1048,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
OTU1049,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
OTU1050,7,2,0,4,0,2,103,66,85,0,0,0,2,0,0,0,0,0
OTU1052,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0
OTU1053,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
OTU1055,0,0,0,0,0,0,26,7,11,0,0,0,0,0,0,0,0,0
OTU1056,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
OTU1057,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU1060,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
OTU1061,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0
OTU1062,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0
OTU1063,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
OTU1066,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
OTU1067,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0
OTU1069,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OTU1071,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU1072,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
OTU1075,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
OTU1077,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
OTU1078,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU1079,0,0,0,2,0,1,17,4,5,0,0,0,0,36,0,0,0,0
OTU1080,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OTU1081,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
OTU1082,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OTU1083,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0
OTU1084,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0
OTU1085,1,2,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
OTU1086,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0
OTU1087,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
OTU1088,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0
OTU1089,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
OTU109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1091,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
OTU1093,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0
OTU1094,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
OTU1095,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
OTU1096,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OTU1098,0,0,0,0,0,0,34,4,8,1,0,0,0,0,0,0,0,0
OTU1099,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU1100,0,0,0,2,0,1,0,4,1,1,0,1,0,0,0,0,0,0
OTU1101,0,0,0,0,0,0,10,2,6,0,0,0,0,0,0,0,0,0
OTU1102,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OTU1103,9,2,2,10,0,0,16,2,4,1,0,0,0,0,0,0,0,1
OTU1105,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU1107,7,10,0,0,0,1,6,4,4,0,0,0,0,0,0,0,0,0
OTU1108,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0
OTU1116,0,0,1,1,0,0,0,0,2,0,0,2,0,0,0,0,0,8
OTU1118,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OTU1119,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
OTU112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1120,1,3,0,0,0,0,0,0,1,0,0,0,0,0,71,0,0,12
OTU1122,0,6,1,6,0,0,45,78,33,0,0,0,0,0,0,0,0,0
OTU1123,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
OTU1124,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1126,0,0,0,0,0,0,10,4,1,0,0,0,0,0,0,0,0,0
OTU1127,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU1128,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0
OTU1130,0,1,0,0,0,0,6,2,2,0,0,0,0,0,0,0,0,0
OTU1131,2,1,22,4,0,0,15,8,6,21,57,14,6,8,28,0,0,45
OTU1132,0,0,0,1,0,0,10,2,3,0,0,0,0,0,0,0,0,0
OTU1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1134,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0
OTU1136,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1137,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OTU1138,0,0,0,1,0,0,28,0,4,2,0,0,0,0,0,0,0,0
OTU1139,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
OTU1140,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU1143,0,0,0,0,0,1,2,8,21,0,0,0,0,0,0,0,0,0
OTU1144,0,1,2,5,0,0,65,6,6,0,0,0,0,0,0,0,0,0
OTU1147,0,1,0,1,0,0,32,7,2,0,0,0,0,20,0,0,0,0
OTU1148,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0
OTU1149,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
OTU115,44,24,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
OTU1150,0,0,0,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0
OTU1151,0,0,1,0,0,0,2,2,3,0,1,0,1,0,0,0,1,0
OTU1153,1,0,3,0,0,0,1,2,2,1,1,0,0,0,3,0,0,0
OTU1157,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
OTU1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU116,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
OTU1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1162,0,2,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,2
OTU1163,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
OTU1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
OTU1167,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU1169,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
OTU117,162,4,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0
OTU1172,0,5,0,1,0,0,2,3,1,0,0,0,0,0,0,0,0,0
OTU1174,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1175,0,0,1,0,0,1,0,1,2,2,0,2,0,0,0,0,0,0
OTU1176,1,0,0,0,0,0,4,0,1,45,3,0,0,0,0,0,0,0
OTU1178,1,2,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9
OTU1179,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
OTU118,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
OTU1180,2,2,1,4,1,0,39,10,4,6,9,0,0,1,0,0,0,0
OTU1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1183,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1185,0,0,0,0,0,0,6,1,4,0,0,0,0,0,0,0,0,0
OTU1187,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU119,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1190,0,0,3,0,0,0,0,0,0,0,0,0,0,33,0,26,0,0
OTU1191,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
OTU1194,3,10,8,3,0,0,3,1,2,0,0,0,0,0,0,0,0,0
OTU1197,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
OTU1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1199,0,0,0,0,0,0,12,1,0,1,0,0,0,0,0,0,0,0
OTU12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU120,23,46,2,10,1,5,9,20,12,10,0,4,5,0,0,0,54,29
OTU1200,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU1201,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,33,0
OTU1202,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1207,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1208,0,5,5,0,0,0,0,3,7,0,0,0,0,0,0,0,0,1
OTU1209,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU121,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OTU1210,6,4,1,7,0,0,0,1,0,43,10,17,5,12,34,0,23,3
OTU1211,4,5,3,11,3,6,94,27,23,2,23,29,0,4,0,0,15,30
OTU1212,13,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
OTU1213,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
OTU1214,7,2,0,9,0,1,177,15,55,18,2,0,0,0,0,0,0,0
OTU1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1218,0,3,3,4,0,0,23,7,9,2,0,0,4,0,0,0,0,0
OTU1219,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OTU1220,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0
OTU1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1228,0,0,4,2,0,0,5,2,2,5,1,0,0,20,0,0,0,3
OTU1229,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
OTU1231,32,53,3,26,1,13,47,58,68,224,401,174,190,122,69,159,107,177
OTU1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1233,3,0,0,0,1,0,5,1,2,0,0,0,0,0,0,0,0,0
OTU1234,0,1,0,2,0,0,1,0,0,3,0,0,0,0,7,15,28,0
OTU1235,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
OTU1236,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
OTU1237,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,16,0
OTU1238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU124,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1250,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1255,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
OTU126,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU1262,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OTU1264,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
OTU1267,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
OTU127,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
OTU1273,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OTU1276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1279,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU128,0,2,0,0,0,0,5,4,3,0,0,0,0,0,0,0,0,0
OTU1281,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1286,20,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU129,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1290,1,3,0,2,0,0,50,5,4,0,0,8,0,0,0,8,0,0
OTU1294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1296,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
OTU1299,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
OTU130,2,4,2,5,0,0,39,4,6,0,0,0,0,0,9,0,0,1
OTU1300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU1305,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
OTU1308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU131,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
OTU1321,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
OTU1325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1326,5,1,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0
OTU133,0,1,0,1,0,0,9,5,11,0,1,5,0,0,0,0,0,0
OTU1330,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OTU1335,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1353,0,3,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0
OTU136,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1366,2,6,0,13,0,0,15,2,5,8,8,0,5,0,12,0,0,0
OTU1367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU138,0,5,2,1,0,1,2,1,3,1,6,6,10,16,11,0,32,1
OTU1385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU139,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1393,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU1402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU141,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU1412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1427,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1436,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
