OTU,FConS1,FConS2,FConS3,FFAS1,FFAS2,FFAS3,FHAS1,FHAS2,FHAS3,VConS1,VConS2,VConS3,VFAS1,VFAS2,VFAS3,VHAS1,VHAS2,VHAS3
OTU1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
OTU10,0,0,2,0,0,0,0,0,0,90,16,0,0,0,0,0,0,0
OTU100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1001,0,3,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1003,0,5,0,0,13,0,0,0,19,3,7,0,0,0,0,0,0,0
OTU1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1006,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
OTU1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1014,0,5,7,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OTU1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1017,7,1,0,0,16,2,1,0,0,0,0,0,3,0,6,0,0,1
OTU1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU102,0,0,0,0,0,0,12,0,0,0,0,6,0,0,0,3,0,0
OTU1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1027,9,16,6,120,165,102,174,317,29,0,0,0,0,1,0,6,0,0
OTU1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1037,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OTU1042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1044,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
OTU1045,1,12,0,0,0,0,0,0,0,35,4,0,0,0,0,0,0,0
OTU1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1050,0,21,33,6,0,0,20,0,0,0,0,0,0,0,0,0,0,0
OTU1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1055,0,0,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0
OTU1056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1063,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1079,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1080,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1083,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1085,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
