Sample,Developmental_stage,Treatments,Niche,Methods,Treatments_niche,Methods_niche
VConL1,Vegetative growth stage,VCon,Leaf,Con,VConL,VLeaf
VConL2,Vegetative growth stage,VCon,Leaf,Con,VConL,VLeaf
VConL3,Vegetative growth stage,VCon,Leaf,Con,VConL,VLeaf
VConR1,Vegetative growth stage,VCon,Root,Con,VConR,VRoot
VConR2,Vegetative growth stage,VCon,Root,Con,VConR,VRoot
VConR3,Vegetative growth stage,VCon,Root,Con,VConR,VRoot
VConS1,Vegetative growth stage,VCon,Stem,Con,VConS,VStem
VConS2,Vegetative growth stage,VCon,Stem,Con,VConS,VStem
VConS3,Vegetative growth stage,VCon,Stem,Con,VConS,VStem
VWSHML1,Vegetative growth stage,VWSHM,Leaf,WSHM,VWSHML,VLeaf
VWSHML2,Vegetative growth stage,VWSHM,Leaf,WSHM,VWSHML,VLeaf
VWSHML3,Vegetative growth stage,VWSHM,Leaf,WSHM,VWSHML,VLeaf
VWSHMR1,Vegetative growth stage,VWSHM,Root,WSHM,VWSHMR,VRoot
VWSHMR2,Vegetative growth stage,VWSHM,Root,WSHM,VWSHMR,VRoot
VWSHMR3,Vegetative growth stage,VWSHM,Root,WSHM,VWSHMR,VRoot
VWSHMS1,Vegetative growth stage,VWSHM,Stem,WSHM,VWSHMS,VStem
VWSHMS2,Vegetative growth stage,VWSHM,Stem,WSHM,VWSHMS,VStem
VWSHMS3,Vegetative growth stage,VWSHM,Stem,WSHM,VWSHMS,VStem
VFAL1,Vegetative growth stage,VFA,Leaf,FA,VFAL,VLeaf
VFAL2,Vegetative growth stage,VFA,Leaf,FA,VFAL,VLeaf
VFAL3,Vegetative growth stage,VFA,Leaf,FA,VFAL,VLeaf
VFAR1,Vegetative growth stage,VFA,Root,FA,VFAR,VRoot
VFAR2,Vegetative growth stage,VFA,Root,FA,VFAR,VRoot
VFAR3,Vegetative growth stage,VFA,Root,FA,VFAR,VRoot
VFAS1,Vegetative growth stage,VFA,Stem,FA,VFAS,VStem
VFAS2,Vegetative growth stage,VFA,Stem,FA,VFAS,VStem
VFAS3,Vegetative growth stage,VFA,Stem,FA,VFAS,VStem
FConL1,Flowering stage ,FCon,Leaf,Con,FConL,VLeaf
FConL2,Flowering stage ,FCon,Leaf,Con,FConL,VLeaf
FConL3,Flowering stage ,FCon,Leaf,Con,FConL,VLeaf
FConR1,Flowering stage ,FCon,Root,Con,FConR,VRoot
FConR2,Flowering stage ,FCon,Root,Con,FConR,VRoot
FConR3,Flowering stage ,FCon,Root,Con,FConR,VRoot
FConS1,Flowering stage ,FCon,Stem,Con,FConS,VStem
FConS2,Flowering stage ,FCon,Stem,Con,FConS,VStem
FConS3,Flowering stage ,FCon,Stem,Con,FConS,VStem
FWSHML1,Flowering stage ,FWSHM,Leaf,WSHM,FVWSHML,FLeaf
FWSHML2,Flowering stage ,FWSHM,Leaf,WSHM,FWSHML,FLeaf
FWSHML3,Flowering stage ,FWSHM,Leaf,WSHM,FWSHML,FLeaf
FWSHMR1,Flowering stage ,FWSHM,Root,WSHM,FWSHMR,FRoot
FWSHMR2,Flowering stage ,FWSHM,Root,WSHM,FWSHMR,FRoot
FWSHMR3,Flowering stage ,FWSHM,Root,WSHM,FWSHMR,FRoot
FWSHMS1,Flowering stage ,FWSHM,Stem,WSHM,FWSHMS,FStem
FWSHMS2,Flowering stage ,FWSHM,Stem,WSHM,FWSHMS,FStem
FWSHMS3,Flowering stage ,FWSHM,Stem,WSHM,FWSHMS,FStem
FFAL1,Flowering stage ,FFA,Leaf,FA,FFAL,FLeaf
FFAL2,Flowering stage ,FFA,Leaf,FA,FFAL,FLeaf
FFAL3,Flowering stage ,FFA,Leaf,FA,FFAL,FLeaf
FFAR1,Flowering stage ,FFA,Root,FA,FFAR,FRoot
FFAR2,Flowering stage ,FFA,Root,FA,FFAR,FRoot
FFAR3,Flowering stage ,FFA,Root,FA,FFAR,FRoot
FFAS1,Flowering stage ,FFA,Stem,FA,FFAS,FStem
FFAS2,Flowering stage ,FFA,Stem,FA,FFAS,FStem
FFAS3,Flowering stage ,FFA,Stem,FA,FFAS,FStem
